date,lastSyncTime,steps,distance,runDistance,calories
2019-07-12,1563000976,6105,4199,424,157
2019-07-13,1563134397,7888,5424,535,194
2019-07-14,1563171164,5051,3569,439,137
2019-07-15,1563251051,6396,4378,376,153
2019-07-16,1563374417,7210,5065,564,184
2019-07-17,1563447637,4722,3238,422,128
2019-07-18,1563543670,9032,6285,536,228
2019-07-19,1563613406,3202,2194,249,84
2019-07-20,1563709926,11961,8319,575,293
2019-07-21,1563764886,4335,3002,360,114
2019-07-22,1563853207,6050,4311,425,150
2019-07-23,1563958387,6965,5006,444,176
2019-07-24,1564028291,7480,5427,312,195
2019-07-25,1564112710,5799,4202,294,149
2019-07-26,1564222000,4628,3244,444,119
2019-07-27,1564283046,3339,2341,395,86
2019-07-28,1564369448,5158,3673,800,151
2019-07-29,1564460304,6086,4511,507,168
2019-07-30,1564600166,7344,5310,465,190
2019-07-31,1564633269,7677,5623,674,205
2019-08-01,1564724182,7741,5650,629,205
2019-08-02,1564802850,8031,5733,444,210
2019-08-03,1564887988,6139,4265,452,161
2019-08-04,1565097351,2846,1947,315,79
2019-08-05,1565097351,7070,5162,297,182
2019-08-06,1565225845,5892,4167,260,148
2019-08-07,1565233265,4968,3553,341,127
2019-08-08,1565321229,6223,4507,261,159
2019-08-09,1565444369,6628,5028,1773,214
2019-08-10,1565496276,11671,8624,1256,337
2019-08-11,1565580482,3496,2434,346,93
2019-08-12,1565691817,6315,4478,549,166
2019-08-13,1565757615,6481,4697,386,176
2019-08-14,1565839326,7653,5594,511,206
2019-08-15,1565926204,6007,4312,490,159
2019-08-16,1566151292,6522,4669,699,178
2019-08-17,1566151292,3439,2374,453,93
2019-08-18,1566186018,4879,3352,524,121
2019-08-19,1566279608,6311,4429,367,152
2019-08-20,1566437892,6159,4408,826,162
2019-08-21,1566445332,8987,6509,454,227
2019-08-22,1566531066,7301,5252,431,186
2019-08-23,1566668949,9913,7149,445,259
2019-08-24,1566819752,4493,3074,351,119
2019-08-25,1566819752,8587,6011,1100,240
2019-08-26,1566891250,6606,4851,413,177
2019-08-27,1566967339,6988,5065,210,183
2019-08-28,1567083085,9830,7148,647,259
2019-08-29,1567136768,10541,7602,496,277
2019-08-30,1567220683,10249,7575,636,283
2019-08-31,1567309173,4875,3393,477,122
2019-09-01,1567393527,3547,2470,347,100
2019-09-02,1567480868,6954,4920,728,186
2019-09-03,1567566125,3236,2214,241,84
2019-09-04,1567755270,6062,4368,470,163
2019-09-05,1567755270,8056,5715,461,207
2019-09-06,1567907054,5938,4163,269,146
2019-09-07,1567913227,8027,5715,536,210
2019-09-08,1567995680,3264,2233,230,82
2019-07-12,1563000976,6105,4199,424,157
2019-07-13,1563134397,7888,5424,535,194
2019-07-14,1563171164,5051,3569,439,137
2019-07-15,1563251051,6396,4378,376,153
2019-07-16,1563374417,7210,5065,564,184
2019-07-17,1563447637,4722,3238,422,128
2019-07-18,1563543670,9032,6285,536,228
2019-07-19,1563613406,3202,2194,249,84
2019-07-20,1563709926,11961,8319,575,293
2019-07-21,1563764886,4335,3002,360,114
2019-07-22,1563853207,6050,4311,425,150
2019-07-23,1563958387,6965,5006,444,176
2019-07-24,1564028291,7480,5427,312,195
2019-07-25,1564112710,5799,4202,294,149
2019-07-26,1564222000,4628,3244,444,119
2019-07-27,1564283046,3339,2341,395,86
2019-07-28,1564369448,5158,3673,800,151
2019-07-29,1564460304,6086,4511,507,168
2019-07-30,1564600166,7344,5310,465,190
2019-07-31,1564633269,7677,5623,674,205
2019-08-01,1564724182,7741,5650,629,205
2019-08-02,1564802850,8031,5733,444,210
2019-08-03,1564887988,6139,4265,452,161
2019-08-04,1565097351,2846,1947,315,79
2019-08-05,1565097351,7070,5162,297,182
2019-08-06,1565225845,5892,4167,260,148
2019-08-07,1565233265,4968,3553,341,127
2019-08-08,1565321229,6223,4507,261,159
2019-08-09,1565444369,6628,5028,1773,214
2019-08-10,1565496276,11671,8624,1256,337
2019-08-11,1565580482,3496,2434,346,93
2019-08-12,1565691817,6315,4478,549,166
2019-08-13,1565757615,6481,4697,386,176
2019-08-14,1565839326,7653,5594,511,206
2019-08-15,1565926204,6007,4312,490,159
2019-08-16,1566151292,6522,4669,699,178
2019-08-17,1566151292,3439,2374,453,93
2019-08-18,1566186018,4879,3352,524,121
2019-08-19,1566279608,6311,4429,367,152
2019-08-20,1566437892,6159,4408,826,162
2019-08-21,1566445332,8987,6509,454,227
2019-08-22,1566531066,7301,5252,431,186
2019-08-23,1566668949,9913,7149,445,259
2019-08-24,1566819752,4493,3074,351,119
2019-08-25,1566819752,8587,6011,1100,240
2019-08-26,1566891250,6606,4851,413,177
2019-08-27,1566967339,6988,5065,210,183
2019-08-28,1567083085,9830,7148,647,259
2019-08-29,1567136768,10541,7602,496,277
2019-08-30,1567220683,10249,7575,636,283
2019-08-31,1567309173,4875,3393,477,122
2019-09-01,1567393527,3547,2470,347,100
2019-09-02,1567480868,6954,4920,728,186
2019-09-03,1567566125,3236,2214,241,84
2019-09-04,1567755270,6062,4368,470,163
2019-09-05,1567755270,8056,5715,461,207
2019-09-06,1567907054,5938,4163,269,146
2019-09-07,1567913227,8027,5715,536,210
2019-09-08,1567995680,3264,2233,230,82
